##Databases: KEGG PATHWAY, Reactome
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	Reactome	R-HSA-2894858	3	57	0.0216864556219	0.101446737116	JAG2|DLL1|MIB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2894858
Signaling by NOTCH1 PEST Domain Mutants in Cancer	Reactome	R-HSA-2644602	3	57	0.0216864556219	0.101446737116	JAG2|DLL1|MIB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2644602
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	Reactome	R-HSA-2894862	3	57	0.0216864556219	0.101446737116	JAG2|DLL1|MIB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2894862
Diseases of metabolism	Reactome	R-HSA-5668914	4	103	0.0219316388932	0.102102797335	ARSB|TPMT|ABCA3|GGT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5668914
Toll-like receptor signaling pathway	KEGG PATHWAY	hsa04620	4	104	0.0226030163955	0.104044184957	TRAF3|TLR1|TLR4|TBK1	http://www.genome.jp/kegg-bin/show_pathway?hsa04620/hsa:29110%09red/hsa:7099%09red/hsa:7187%09red/hsa:7096%09red
Positive epigenetic regulation of rRNA expression	Reactome	R-HSA-5250913	4	104	0.0226030163955	0.104044184957	TAF1B|TAF1A|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5250913
Neuroactive ligand-receptor interaction	KEGG PATHWAY	hsa04080	8	338	0.0226694421489	0.104044184957	NOP9|CSH1|EAA2|CCKAR|H4|DRD1|ADRB1|GPR54	http://www.genome.jp/kegg-bin/show_pathway?hsa04080/hsa:1812%09red/hsa:59340%09red/hsa:153%09red/hsa:56413%09red/hsa:84634%09red/hsa:1442%09red/hsa:2901%09red/hsa:886%09red
Ribosome biogenesis in eukaryotes	KEGG PATHWAY	hsa03008	4	105	0.0232867976975	0.105079392343	NVL|NMD3|XRN1|NGB	http://www.genome.jp/kegg-bin/show_pathway?hsa03008/hsa:54464%09red/hsa:23560%09red/hsa:51068%09red/hsa:4931%09red
NoRC negatively regulates rRNA expression	Reactome	R-HSA-427413	4	105	0.0232867976975	0.105079392343	TAF1B|TAF1A|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-427413
Cargo recognition for clathrin-mediated endocytosis	Reactome	R-HSA-8856825	4	105	0.0232867976975	0.105079392343	SYT12|SYT9|LDLR|REPS1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8856825
HS-GAG degradation	Reactome	R-HSA-2024096	2	22	0.0233269771286	0.105079392343	AGRIN|PLC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2024096
Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	15	836	0.0235092101738	0.105412264973	TRAF3|DSRAD|TBK1|CSH1|PSME4|BIRC3|FAT|ALS|MET|GSTO1|GILT|TRIM3|TRIM2|TIE2|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280215
Lysine degradation	KEGG PATHWAY	hsa00310	3	59	0.0236263796453	0.105451685297	NSD1|KMT2A|SETD2	http://www.genome.jp/kegg-bin/show_pathway?hsa00310/hsa:4297%09red/hsa:64324%09red/hsa:29072%09red
Human T-cell leukemia virus 1 infection	KEGG PATHWAY	hsa05166	6	219	0.0250745295805	0.111382280292	SPI1|SRF|BUB1B|TIP|TRRAP|CRTC1	http://www.genome.jp/kegg-bin/show_pathway?hsa05166/hsa:8295%09red/hsa:701%09red/hsa:10524%09red/hsa:23373%09red/hsa:6688%09red/hsa:6722%09red
Phase II - Conjugation of compounds	Reactome	R-HSA-156580	4	108	0.0254130177027	0.111382280292	ST1E1|TPMT|GGT1|GSTO1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-156580
Negative epigenetic regulation of rRNA expression	Reactome	R-HSA-5250941	4	108	0.0254130177027	0.111382280292	TAF1B|TAF1A|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5250941
Biological oxidations	Reactome	R-HSA-211859	6	220	0.0255522360183	0.111448768144	ST1E1|NCOA1|GSTO1|TPMT|GGT1|DPEP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-211859
Transcriptional Regulation by MECP2	Reactome	R-HSA-8986944	3	61	0.0256572703642	0.111448768144	DLL1|MET|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8986944
ESR-mediated signaling	Reactome	R-HSA-8939211	6	221	0.0260359655564	0.112467223852	NCOA1|SRF|TIP|AGO2|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939211
RNA Polymerase I Promoter Clearance	Reactome	R-HSA-73854	4	109	0.0261468559472	0.112467223852	TAF1B|TAF1A|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73854
Hepatitis B	KEGG PATHWAY	hsa05161	5	163	0.0262384992955	0.112467223852	CYC|TRAF3|PLC|TLR4|TBK1	http://www.genome.jp/kegg-bin/show_pathway?hsa05161/hsa:29110%09red/hsa:54205%09red/hsa:3339%09red/hsa:7187%09red/hsa:7099%09red
RNA Polymerase I Transcription	Reactome	R-HSA-73864	4	110	0.0268933073451	0.114214837099	TAF1B|TAF1A|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73864
Deadenylation of mRNA	Reactome	R-HSA-429947	2	24	0.0271157526925	0.114214837099	CNOT7|CAF1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-429947
MicroRNA (miRNA) biogenesis	Reactome	R-HSA-203927	2	24	0.0271157526925	0.114214837099	XPO5|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-203927
IKK complex recruitment mediated by RIP1	Reactome	R-HSA-937041	2	24	0.0271157526925	0.114214837099	BIRC3|TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-937041
Intracellular signaling by second messengers	Reactome	R-HSA-9006925	7	288	0.0282905401443	0.118649549829	PSME4|MET|NR2E1|SNAI2|AGO2|BCAP|PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006925
Influenza A	KEGG PATHWAY	hsa05164	5	167	0.0286441573807	0.119617017731	CYC|TRAF3|TLR4|TBK1|DSRAD	http://www.genome.jp/kegg-bin/show_pathway?hsa05164/hsa:29110%09red/hsa:54205%09red/hsa:103%09red/hsa:7187%09red/hsa:7099%09red
Cellular responses to stress	Reactome	R-HSA-2262752	9	422	0.0287820644148	0.119679267844	PSME4|TIP|AQP8|CYC|HLF|DCTN1|H2A|ALS|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2262752
TP53 Regulates Transcription of DNA Repair Genes	Reactome	R-HSA-6796648	3	65	0.0299912043129	0.12417634807	CCNT2|COCA1|MDC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6796648
Alzheimer disease	KEGG PATHWAY	hsa05010	5	171	0.0311850740926	0.128133228155	CYC|COX3|ATPO|COX5A|NEP	http://www.genome.jp/kegg-bin/show_pathway?hsa05010/hsa:539%09red/hsa:54205%09red/hsa:9377%09red/hsa:4311%09red/hsa:4514%09red
Signaling by NOTCH	Reactome	R-HSA-157118	6	231	0.0312102518734	0.128133228155	MIB2|DLL1|JAG2|AGO2|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-157118
L1CAM interactions	Reactome	R-HSA-373760	4	117	0.0324742923069	0.13233949797	LAMA|NCAN|LAMC1|L1CAM	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-373760
The citric acid (TCA) cycle and respiratory electron transport	Reactome	R-HSA-1428517	5	173	0.0325068242702	0.13233949797	CYC|COX3|ATPO|ECSIT|COX5A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1428517
Glycolysis / Gluconeogenesis	KEGG PATHWAY	hsa00010	3	68	0.0334784727821	0.135727308404	GALM|FBP1|G6PC2	http://www.genome.jp/kegg-bin/show_pathway?hsa00010/hsa:130589%09red/hsa:57818%09red/hsa:2203%09red
Circadian Clock	Reactome	R-HSA-400253	3	69	0.0346856976869	0.140038107259	CRTC1|NCOA1|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-400253
PKMTs methylate histone lysines	Reactome	R-HSA-3214841	3	70	0.0359152059579	0.143997611823	NSD1|KMT2A|SETD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3214841
NOD-like receptor signaling pathway	KEGG PATHWAY	hsa04621	5	178	0.0359624045971	0.143997611823	NEK7|TRAF3|BIRC3|TLR4|TBK1	http://www.genome.jp/kegg-bin/show_pathway?hsa04621/hsa:29110%09red/hsa:7099%09red/hsa:330%09red/hsa:140609%09red/hsa:7187%09red
SUMOylation of DNA damage response and repair proteins	Reactome	R-HSA-3108214	3	71	0.0371669186877	0.147605762788	WRN|HERC2|MDC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3108214
Signaling by NOTCH1	Reactome	R-HSA-1980143	3	71	0.0371669186877	0.147605762788	JAG2|DLL1|MIB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1980143
Diseases of signal transduction	Reactome	R-HSA-5663202	8	374	0.0374356453333	0.147986218573	LRP6|MET|PSME4|MIB2|DLL1|ESRP1|JAG2|BCAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663202
Surfactant metabolism	Reactome	R-HSA-5683826	2	29	0.0375669023511	0.147986218573	DMBT1|ABCA3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5683826
Lysosome	KEGG PATHWAY	hsa04142	4	123	0.0377578541713	0.148138167586	NPC2|AP4B1|ARSB|CTSL2	http://www.genome.jp/kegg-bin/show_pathway?hsa04142/hsa:411%09red/hsa:10717%09red/hsa:1515%09red/hsa:10577%09red
Cellular responses to external stimuli	Reactome	R-HSA-8953897	10	516	0.0379099729998	0.148138167586	PSME4|TIP|AQP8|CYC|CSRP1|HLF|DCTN1|H2A|ALS|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953897
Transcription of the HIV genome	Reactome	R-HSA-167172	3	73	0.0397366155093	0.154341689194	TAF5|CCNT2|TAF2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167172
RNA Polymerase I Transcription Termination	Reactome	R-HSA-73863	2	30	0.0398147625774	0.154341689194	TAF1B|TAF1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73863
PIP3 activates AKT signaling	Reactome	R-HSA-1257604	6	247	0.0408062167129	0.157081056551	PSME4|MET|NR2E1|SNAI2|BCAP|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1257604
Deposition of new CENPA-containing nucleosomes at the centromere	Reactome	R-HSA-606279	3	74	0.0410544158724	0.157081056551	H2A|CENPI|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-606279
Nucleosome assembly	Reactome	R-HSA-774815	3	74	0.0410544158724	0.157081056551	H2A|CENPI|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-774815
Transport to the Golgi and subsequent modification	Reactome	R-HSA-948021	5	185	0.0411671833716	0.157081056551	COG3|TFG|DCTN1|GBF1|LMAN2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-948021
Transcriptional misregulation in cancer	KEGG PATHWAY	hsa05202	5	186	0.0419459720934	0.159427464245	SPI1|KMT2A|CCNT2|BIRC3|MET	http://www.genome.jp/kegg-bin/show_pathway?hsa05202/hsa:4297%09red/hsa:4233%09red/hsa:330%09red/hsa:905%09red/hsa:6688%09red
Regulation of TNFR1 signaling	Reactome	R-HSA-5357905	2	32	0.0444582717151	0.167208917198	CLIP3|BIRC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5357905
Nuclear Pore Complex (NPC) Disassembly	Reactome	R-HSA-3301854	2	32	0.0444582717151	0.167208917198	NEK7|NEK9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3301854
Purine metabolism	KEGG PATHWAY	hsa00230	4	130	0.0445088484628	0.167208917198	ADK2|PDE2A|ALLC|MESH1	http://www.genome.jp/kegg-bin/show_pathway?hsa00230/hsa:5138%09red/hsa:55821%09red/hsa:374659%09red/hsa:204%09red
Protein ubiquitination	Reactome	R-HSA-8852135	3	77	0.0451384206553	0.168921858837	UBA6|PEX13|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8852135
Class A/1 (Rhodopsin-like receptors)	Reactome	R-HSA-373076	7	322	0.0463774404802	0.1720247331	NOP9|QRFPR|CCKAR|H4|DRD1|ADRB1|GPR54	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-373076
Fructose and mannose metabolism	KEGG PATHWAY	hsa00051	2	33	0.0468515460139	0.1720247331	TIGAR|FBP1	http://www.genome.jp/kegg-bin/show_pathway?hsa00051/hsa:57103%09red/hsa:2203%09red
Apoptosis - multiple species	KEGG PATHWAY	hsa04215	2	33	0.0468515460139	0.1720247331	CYC|BIRC3	http://www.genome.jp/kegg-bin/show_pathway?hsa04215/hsa:54205%09red/hsa:330%09red
Gluconeogenesis	Reactome	R-HSA-70263	2	33	0.0468515460139	0.1720247331	FBP1|G6PC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-70263
Gene Silencing by RNA	Reactome	R-HSA-211000	4	133	0.0475956167208	0.173508079707	H2A|H2B|XPO5|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-211000
G2/M Transition	Reactome	R-HSA-69275	5	193	0.0476460075427	0.173508079707	CEP63|PSME4|GCP6|FBXL7|SSNA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69275
Drug metabolism - other enzymes	KEGG PATHWAY	hsa00983	3	79	0.0479688319026	0.173508079707	TPMT|UMPS|GSTO1	http://www.genome.jp/kegg-bin/show_pathway?hsa00983/hsa:7172%09red/hsa:9446%09red/hsa:7372%09red
Regulation of APC/C activators between G1/S and early anaphase	Reactome	R-HSA-176408	3	79	0.0479688319026	0.173508079707	FBX5|PSME4|BUB1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-176408
Mitotic Prophase	Reactome	R-HSA-68875	4	134	0.0486502782321	0.175321187851	NEK7|H2B|H2A|NEK9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68875
Negative regulators of DDX58/IFIH1 signaling	Reactome	R-HSA-936440	2	34	0.0492909479813	0.176123723474	TRAF3|TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-936440
Mitotic G2-G2/M phases	Reactome	R-HSA-453274	5	195	0.0493547314484	0.176123723474	CEP63|PSME4|GCP6|FBXL7|SSNA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-453274
DNA Damage/Telomere Stress Induced Senescence	Reactome	R-HSA-2559586	3	80	0.0494160087445	0.176123723474	TIP|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559586
Spliceosome	KEGG PATHWAY	hsa03040	4	135	0.0497177862007	0.176345707848	DHX8|U2AF1|AQR|DDX46	http://www.genome.jp/kegg-bin/show_pathway?hsa03040/hsa:9879%09red/hsa:9716%09red/hsa:1659%09red/hsa:7307%09red
Platelet activation, signaling and aggregation	Reactome	R-HSA-76002	6	260	0.0498407704606	0.176345707848	TIMP3|FAT|ALS|VEGFD|ITIH3|ITIH4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76002
Mitotic Prometaphase	Reactome	R-HSA-68877	5	196	0.0502224817594	0.177052444753	CEP63|BUB1B|GCP6|CENPI|SSNA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68877
Late Phase of HIV Life Cycle	Reactome	R-HSA-162599	4	136	0.0507981241175	0.177456835314	RCC1|TAF5|CCNT2|TAF2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162599
Recruitment of mitotic centrosome proteins and complexes	Reactome	R-HSA-380270	3	81	0.0508843340727	0.177456835314	CEP63|GCP6|SSNA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-380270
Centrosome maturation	Reactome	R-HSA-380287	3	81	0.0508843340727	0.177456835314	CEP63|GCP6|SSNA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-380287
Prion diseases	KEGG PATHWAY	hsa05020	2	35	0.0517753363226	0.178410633487	LAMC1|ALS	http://www.genome.jp/kegg-bin/show_pathway?hsa05020/hsa:3915%09red/hsa:6647%09red
Insulin signaling pathway	KEGG PATHWAY	hsa04910	4	137	0.0518912736658	0.178410633487	PP1G|PKR2|FBP1|G6PC2	http://www.genome.jp/kegg-bin/show_pathway?hsa04910/hsa:5506%09red/hsa:57818%09red/hsa:2203%09red/hsa:5576%09red
Ubiquitin mediated proteolysis	KEGG PATHWAY	hsa04120	4	137	0.0518912736658	0.178410633487	UBA6|UBE3C|HERC2|BIRC3	http://www.genome.jp/kegg-bin/show_pathway?hsa04120/hsa:9690%09red/hsa:330%09red/hsa:55236%09red/hsa:8924%09red
PTEN Regulation	Reactome	R-HSA-6807070	4	137	0.0518912736658	0.178410633487	SNAI2|PSME4|NR2E1|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6807070
Signaling by Nuclear Receptors	Reactome	R-HSA-9006931	6	264	0.0528486879728	0.181062582386	NCOA1|SRF|TIP|AGO2|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006931
Axon guidance	Reactome	R-HSA-422475	10	549	0.0530694593354	0.181133112804	LAMA|NCAN|GST1|PSME4|MET|AGRIN|SLIT1|L1CAM|LAMC1|PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-422475
@@Axon guidance	KEGG PATHWAY	hsa04360	4	181	0.112110855415	0.241637053338	MET|RYK|SLIT1|L1CAM	http://www.genome.jp/kegg-bin/show_pathway?hsa04360/hsa:6585%09red/hsa:6259%09red/hsa:3897%09red/hsa:4233%09red
Transcriptional regulation of white adipocyte differentiation	Reactome	R-HSA-381340	3	83	0.0538839100439	0.181133112804	NCOA1|MED13|FAT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381340
Tyrosine metabolism	KEGG PATHWAY	hsa00350	2	36	0.0543035877034	0.181133112804	DDC|HGD	http://www.genome.jp/kegg-bin/show_pathway?hsa00350/hsa:1644%09red/hsa:3081%09red
Resolution of Abasic Sites (AP sites)	Reactome	R-HSA-73933	2	36	0.0543035877034	0.181133112804	MBD4|NEIL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73933
NOD1/2 Signaling Pathway	Reactome	R-HSA-168638	2	36	0.0543035877034	0.181133112804	CASP2|BIRC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168638
Metabolic disorders of biological oxidation enzymes	Reactome	R-HSA-5579029	2	36	0.0543035877034	0.181133112804	TPMT|GGT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5579029
Glutathione conjugation	Reactome	R-HSA-156590	2	36	0.0543035877034	0.181133112804	GGT1|GSTO1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-156590
G alpha (i) signalling events	Reactome	R-HSA-418594	8	405	0.0544522178602	0.181133112804	LRP12|LDLR|H4|AGRIN|PLC|PLB1|BCDO1|PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-418594
Death Receptor Signalling	Reactome	R-HSA-73887	4	140	0.055247382276	0.181133112804	CLIP3|OBSCN|BIRC3|CASP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73887
Integrin cell surface interactions	Reactome	R-HSA-216083	3	84	0.055414891414	0.181133112804	COMP|AGRIN|PLC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-216083
RNA Polymerase II Pre-transcription Events	Reactome	R-HSA-674695	3	84	0.055414891414	0.181133112804	TAF5|CCNT2|TAF2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-674695
Intra-Golgi and retrograde Golgi-to-ER traffic	Reactome	R-HSA-6811442	5	202	0.0556165890126	0.181133112804	COG3|KIF27|DCTN1|GBF1|IAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6811442
APC/C-mediated degradation of cell cycle proteins	Reactome	R-HSA-174143	3	85	0.0569664829763	0.181133112804	FBX5|PSME4|BUB1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174143
Regulation of mitotic cell cycle	Reactome	R-HSA-453276	3	85	0.0569664829763	0.181133112804	FBX5|PSME4|BUB1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-453276
GPCR downstream signalling	Reactome	R-HSA-388396	17	1108	0.0570605328522	0.181133112804	NOP9|OBSCN|LRP12|QRFPR|PLB1|LDLR|CCKAR|H4|DRD1|ADRB1|AGRIN|PLC|GPR54|PDE2A|REEP4|BCDO1|PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-388396
Dopamine receptors	Reactome	R-HSA-390651	1	5	0.0578955787071	0.181133112804	DRD1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-390651
Tyrosine catabolism	Reactome	R-HSA-8963684	1	5	0.0578955787071	0.181133112804	HGD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8963684
IRF3 mediated activation of type 1 IFN	Reactome	R-HSA-1606341	1	5	0.0578955787071	0.181133112804	TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1606341
Extrinsic Pathway of Fibrin Clot Formation	Reactome	R-HSA-140834	1	5	0.0578955787071	0.181133112804	TFPI1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-140834
Serotonin and melatonin biosynthesis	Reactome	R-HSA-209931	1	5	0.0578955787071	0.181133112804	DDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-209931
Leukotriene receptors	Reactome	R-HSA-391906	1	5	0.0578955787071	0.181133112804	NOP9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-391906
MET activates PI3K/AKT signaling	Reactome	R-HSA-8851907	1	5	0.0578955787071	0.181133112804	MET	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8851907
MET interacts with TNS proteins	Reactome	R-HSA-8875513	1	5	0.0578955787071	0.181133112804	MET	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8875513
PTK6 Expression	Reactome	R-HSA-8849473	1	5	0.0578955787071	0.181133112804	HLF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8849473
VLDL assembly	Reactome	R-HSA-8866423	1	5	0.0578955787071	0.181133112804	ABL	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866423
Chylomicron clearance	Reactome	R-HSA-8964026	1	5	0.0578955787071	0.181133112804	LDLR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8964026
Scavenging by Class B Receptors	Reactome	R-HSA-3000471	1	5	0.0578955787071	0.181133112804	FAT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3000471
Cardiac muscle contraction	KEGG PATHWAY	hsa04260	3	86	0.0585385414554	0.181394907121	COX3|ACTC|COX5A	http://www.genome.jp/kegg-bin/show_pathway?hsa04260/hsa:9377%09red/hsa:4514%09red/hsa:70%09red
Colorectal cancer	KEGG PATHWAY	hsa05210	3	86	0.0585385414554	0.181394907121	CYC|COCA1|MSH3	http://www.genome.jp/kegg-bin/show_pathway?hsa05210/hsa:4437%09red/hsa:54205%09red/hsa:4436%09red
Meiotic recombination	Reactome	R-HSA-912446	3	86	0.0585385414554	0.181394907121	H2A|TOP3A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-912446
Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	Reactome	R-HSA-8950505	2	38	0.0594872745983	0.183749581537	GSTO1|ALS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8950505
Clathrin-mediated endocytosis	Reactome	R-HSA-8856828	4	145	0.0610949115231	0.188118192759	SYT12|SYT9|LDLR|REPS1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8856828
Epigenetic regulation of gene expression	Reactome	R-HSA-212165	4	146	0.0623022540454	0.191230577874	TAF1B|TAF1A|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212165
Breast cancer	KEGG PATHWAY	hsa05224	4	147	0.0635221304246	0.194361738689	JAG2|DLL1|NCOA1|LRP6	http://www.genome.jp/kegg-bin/show_pathway?hsa05224/hsa:8648%09red/hsa:4040%09red/hsa:28514%09red/hsa:3714%09red
Nuclear Receptor transcription pathway	Reactome	R-HSA-383280	2	40	0.0648333720714	0.195656111763	NR2E1|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-383280
Salivary secretion	KEGG PATHWAY	hsa04970	3	90	0.0650284681495	0.195656111763	DMBT1|TRPV6|ADRB1	http://www.genome.jp/kegg-bin/show_pathway?hsa04970/hsa:153%09red/hsa:55503%09red/hsa:1755%09red
Interferon gamma signaling	Reactome	R-HSA-877300	3	90	0.0650284681495	0.195656111763	GILT|TRIM3|TRIM2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-877300
HIV Life Cycle	Reactome	R-HSA-162587	4	149	0.065999336209	0.195656111763	RCC1|TAF5|CCNT2|TAF2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162587
mRNA surveillance pathway	KEGG PATHWAY	hsa03015	3	91	0.0667006028065	0.195656111763	GST1|EST1C|EST1A	http://www.genome.jp/kegg-bin/show_pathway?hsa03015/hsa:2935%09red/hsa:9887%09red/hsa:23293%09red
Choline catabolism	Reactome	R-HSA-6798163	1	6	0.0672144011433	0.195656111763	CHDH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6798163
NADE modulates death signalling	Reactome	R-HSA-205025	1	6	0.0672144011433	0.195656111763	CASP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-205025
