Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink	Enrich_ratio	Cluster	Cluster_size	Cluster_P-Value_median
Asparagine N-linked glycosylation	Reactome	R-HSA-446203	10	304	0.00125207963619	0.0164591584856	DOLK|NPL|COG3|TFG|ALG2|FUCT1|LMAN2|DCTN1|GBF1|DPM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-446203	0.0328947368421053	5	40	0.001675104517425
LDL clearance	Reactome	R-HSA-8964038	3	19	0.00128560744594	0.0164591584856	NPC2|LDLR|NCEH1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8964038	0.157894736842105	7	5	0.00491215300472
Regulation of TLR by endogenous ligand	Reactome	R-HSA-5686938	3	19	0.00128560744594	0.0164591584856	TLR1|FAT|TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5686938	0.157894736842105	13	33	0.0106824265389
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	Reactome	R-HSA-446193	5	78	0.00142391973816	0.0178504749059	DOLK|NPL|ALG2|DPM1|FUCT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-446193	0.0641025641025641	5	40	0.001675104517425
Defective B4GALT7 causes EDS, progeroid type	Reactome	R-HSA-3560783	3	20	0.00146766494602	0.0178504749059	PLC|AGRIN|NCAN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3560783	0.15	5	40	0.001675104517425
Defective B3GALT6 causes EDSP2 and SEMDJL1	Reactome	R-HSA-4420332	3	20	0.00146766494602	0.0178504749059	PLC|AGRIN|NCAN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4420332	0.15	5	40	0.001675104517425
Defective B3GAT3 causes JDSSDHD	Reactome	R-HSA-3560801	3	20	0.00146766494602	0.0178504749059	PLC|AGRIN|NCAN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3560801	0.15	5	40	0.001675104517425
Regulation of FZD by ubiquitination	Reactome	R-HSA-4641263	3	21	0.00166510318215	0.0200017950152	LGR5|LRP6|ZNRF3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4641263	0.142857142857143	NA	NA	0.0155104646138
TP53 Regulates Metabolic Genes	Reactome	R-HSA-5628897	5	82	0.00175489552129	0.0208233334416	CYC|COX3|TIGAR|COX5A|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5628897	0.0609756097560976	19	7	0.0157375117354
NOTCH2 Activation and Transmission of Signal to the Nucleus	Reactome	R-HSA-2979096	3	22	0.00187837519162	0.0212990162609	JAG2|DLL1|MIB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2979096	0.136363636363636	18	55	0.0143070502187
Digestion	Reactome	R-HSA-8935690	3	22	0.00187837519162	0.0212990162609	TREA|CHIT1|MGA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8935690	0.136363636363636	6	7	0.0045764905036
Malaria	KEGG PATHWAY	hsa05144	4	49	0.00188254408883	0.0212990162609	COMP|FAT|TLR4|MET	http://www.genome.jp/kegg-bin/show_pathway?hsa05144/hsa:1311%09red/hsa:7099%09red/hsa:948%09red/hsa:4233%09red	0.0816326530612245	13	33	0.0106824265389
Chondroitin sulfate/dermatan sulfate metabolism	Reactome	R-HSA-1793185	4	49	0.00188254408883	0.0212990162609	PLC|AGRIN|NCAN|ARSB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1793185	0.0816326530612245	5	40	0.001675104517425
Diseases of Mismatch Repair (MMR)	Reactome	R-HSA-5423599	2	5	0.00198264408987	0.022173709189	COCA1|MSH3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5423599	0.4	17	7	0.0120282345773
Cholesterol metabolism	KEGG PATHWAY	hsa04979	4	50	0.00201747538647	0.0223068585345	NPC2|LDLR|NCEH1|FAT	http://www.genome.jp/kegg-bin/show_pathway?hsa04979/hsa:57552%09red/hsa:3949%09red/hsa:948%09red/hsa:10577%09red	0.08	7	5	0.00491215300472
M Phase	Reactome	R-HSA-68886	11	384	0.00211172697289	0.0230866330857	NEK7|GCP6|CENPI|BUB1B|CEP63|FBX5|PSME4|SSNA1|NEK9|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68886	0.0286458333333333	4	32	0.0005077985770585
Platelet degranulation 	Reactome	R-HSA-114608	6	128	0.0022363570921	0.0241775050068	TIMP3|FAT|ALS|VEGFD|ITIH3|ITIH4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-114608	0.046875	8	4	0.006701542797775
RUNX1 regulates transcription of genes involved in differentiation of HSCs	Reactome	R-HSA-8939236	6	129	0.00232126794725	0.0248197111283	KMT2A|SPI1|PSME4|HTF4|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939236	0.0465116279069767	18	55	0.0143070502187
NOTCH3 Activation and Transmission of Signal to the Nucleus	Reactome	R-HSA-9013507	3	25	0.0026174567906	0.0276824506223	JAG2|DLL1|MIB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013507	0.12	18	55	0.0143070502187
Response to elevated platelet cytosolic Ca2+	Reactome	R-HSA-76005	6	133	0.00268538036855	0.0280954311678	TIMP3|FAT|ALS|VEGFD|ITIH3|ITIH4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76005	0.0451127819548872	8	4	0.006701542797775
Heparan sulfate/heparin (HS-GAG) metabolism	Reactome	R-HSA-1638091	4	55	0.00279332874205	0.0283115506876	PLC|AGRIN|NCAN|EXT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1638091	0.0727272727272727	5	40	0.001675104517425
Deadenylation-dependent mRNA decay	Reactome	R-HSA-429914	4	55	0.00279332874205	0.0283115506876	CNOT7|XRN1|CAF1B|LSM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-429914	0.0727272727272727	16	5	0.0120282345773
Transcriptional activation of mitochondrial biogenesis	Reactome	R-HSA-2151201	4	55	0.00279332874205	0.0283115506876	CYC|CRTC1|NCOA1|NRF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2151201	0.0727272727272727	9	8	0.0068367933782
A tetrasaccharide linker sequence is required for GAG synthesis	Reactome	R-HSA-1971475	3	26	0.00289824032825	0.0287753861162	PLC|AGRIN|NCAN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1971475	0.115384615384615	5	40	0.001675104517425
Digestion and absorption	Reactome	R-HSA-8963743	3	26	0.00289824032825	0.0287753861162	TREA|CHIT1|MGA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8963743	0.115384615384615	6	7	0.0045764905036
RHO GTPases Activate Formins	Reactome	R-HSA-5663220	6	136	0.00298536128687	0.0292888591664	SCAI|SRF|CENPI|BUB1B|FMNL2|FMNL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663220	0.0441176470588235	18	55	0.0143070502187
Metabolism of carbohydrates	Reactome	R-HSA-71387	9	288	0.00301016024321	0.0292888591664	NCAN|ARSB|SHPK|EXT2|G6PC2|AGRIN|PLC|FUT2|FBP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-71387	0.03125	5	40	0.001675104517425
Transcriptional regulation by RUNX1	Reactome	R-HSA-8878171	8	235	0.00306821812059	0.0294361054337	KMT2A|SPI1|PSME4|HTF4|CTSL2|H2B|H2A|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8878171	0.0340425531914894	18	55	0.0143070502187
Mitochondrial biogenesis	Reactome	R-HSA-1592230	5	94	0.00308579933632	0.0294361054337	CYC|CRTC1|NCOA1|ATPO|NRF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1592230	0.0531914893617021	9	8	0.0068367933782
Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	Reactome	R-HSA-2660826	2	7	0.00335456920076	0.0310856745937	JAG2|DLL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2660826	0.285714285714286	18	55	0.0143070502187
Activation of NIMA Kinases NEK9, NEK6, NEK7	Reactome	R-HSA-2980767	2	7	0.00335456920076	0.0310856745937	NEK7|NEK9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2980767	0.285714285714286	18	55	0.0143070502187
Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	Reactome	R-HSA-2660825	2	7	0.00335456920076	0.0310856745937	JAG2|DLL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2660825	0.285714285714286	18	55	0.0143070502187
TRP channels	Reactome	R-HSA-3295583	3	28	0.00351366853847	0.0322528253579	TRPV5|TRPV6|TRPM3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3295583	0.107142857142857	NA	NA	0.0155104646138
Developmental Biology	Reactome	R-HSA-1266738	21	1082	0.00356733360388	0.0323071663165	H2B|KMT2A|NCOA1|NCAN|SLIT1|GST1|HACL1|SPI1|PSME4|FAT|LIPN|MET|AGRIN|LAMA|HTF4|L1CAM|HLF|LAMC1|H2A|MED13|PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1266738	0.0194085027726433	NA	NA	0.0155104646138
Antigen processing-Cross presentation	Reactome	R-HSA-1236975	5	98	0.00365810991681	0.0323071663165	PSME4|TLR1|FAT|TLR4|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236975	0.0510204081632653	13	33	0.0106824265389
Vesicle-mediated transport	Reactome	R-HSA-5653656	15	669	0.00370887107264	0.0323071663165	SYT9|DCTN1|COG3|TFG|KIF27|SREC|REPS1|FAT|IAP|SYT12|LDLR|LMAN2|AP4B1|GBF1|MON1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5653656	0.0224215246636771	5	40	0.001675104517425
Recognition and association of DNA glycosylase with site containing an affected pyrimidine	Reactome	R-HSA-110328	4	60	0.00375201417653	0.0323071663165	H2A|H2B|NEIL1|MBD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-110328	0.0666666666666667	18	55	0.0143070502187
rRNA modification in the nucleus and cytosol	Reactome	R-HSA-6790901	4	60	0.00375201417653	0.0323071663165	DDX49|DDX52|RRP5|SAS10	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6790901	0.0666666666666667	11	4	0.008375774126785
Depyrimidination	Reactome	R-HSA-73928	4	60	0.00375201417653	0.0323071663165	H2A|H2B|NEIL1|MBD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73928	0.0666666666666667	18	55	0.0143070502187
Cleavage of the damaged pyrimidine 	Reactome	R-HSA-110329	4	60	0.00375201417653	0.0323071663165	H2A|H2B|NEIL1|MBD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-110329	0.0666666666666667	18	55	0.0143070502187
Huntington disease	KEGG PATHWAY	hsa05016	7	193	0.00393716674474	0.0335672042398	COX5A|COX3|CYC|ATPO|DCTN1|ALS|NRF1	http://www.genome.jp/kegg-bin/show_pathway?hsa05016/hsa:9377%09red/hsa:4899%09red/hsa:1639%09red/hsa:54205%09red/hsa:6647%09red/hsa:539%09red/hsa:4514%09red	0.0362694300518135	19	7	0.0157375117354
Base-Excision Repair, AP Site Formation	Reactome	R-HSA-73929	4	61	0.00396734685259	0.0335672042398	H2A|H2B|NEIL1|MBD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73929	0.0655737704918033	18	55	0.0143070502187
Sulfur relay system	KEGG PATHWAY	hsa04122	2	8	0.00416585990174	0.0349429455551	CTU1|NCS2	http://www.genome.jp/kegg-bin/show_pathway?hsa04122/hsa:348180%09red/hsa:90353%09red	0.25	10	2	0.00709273572142
Synthesis of substrates in N-glycan biosythesis	Reactome	R-HSA-446219	4	63	0.00442277220907	0.0367808321318	DOLK|NPL|DPM1|FUCT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-446219	0.0634920634920635	5	40	0.001675104517425
Galactose metabolism	KEGG PATHWAY	hsa00052	3	31	0.0045764905036	0.0371077105	GALM|MGA|G6PC2	http://www.genome.jp/kegg-bin/show_pathway?hsa00052/hsa:8972%09red/hsa:130589%09red/hsa:57818%09red	0.0967741935483871	6	7	0.0045764905036
HS-GAG biosynthesis	Reactome	R-HSA-2022928	3	31	0.0045764905036	0.0371077105	AGRIN|PLC|EXT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2022928	0.0967741935483871	5	40	0.001675104517425
Activated NOTCH1 Transmits Signal to the Nucleus	Reactome	R-HSA-2122948	3	31	0.0045764905036	0.0371077105	JAG2|DLL1|MIB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2122948	0.0967741935483871	18	55	0.0143070502187
Focal adhesion	KEGG PATHWAY	hsa04510	7	199	0.00462119386335	0.0371605093309	LAMA3|MET|COMP|BIRC3|VEGFD|LAMA|LAMC1	http://www.genome.jp/kegg-bin/show_pathway?hsa04510/hsa:1311%09red/hsa:3915%09red/hsa:4233%09red/hsa:2277%09red/hsa:284217%09red/hsa:330%09red/hsa:3909%09red	0.0351758793969849	5	40	0.001675104517425
Plasma lipoprotein assembly, remodeling, and clearance	Reactome	R-HSA-174824	4	65	0.00491215300472	0.0391764333901	NPC2|LDLR|ABL|NCEH1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174824	0.0615384615384615	7	5	0.00491215300472
Plasma lipoprotein clearance	Reactome	R-HSA-8964043	3	32	0.00496924578547	0.0393095621891	NPC2|LDLR|NCEH1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8964043	0.09375	7	5	0.00491215300472
rRNA processing	Reactome	R-HSA-72312	7	203	0.00512460672707	0.040211631818	DDX49|RRP5|DDX52|NSUN4|ERI1|BOP1|SAS10	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72312	0.0344827586206897	11	4	0.008375774126785
Signaling by NOTCH2	Reactome	R-HSA-1980145	3	33	0.00538171256886	0.041891250636	JAG2|DLL1|MIB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1980145	0.0909090909090909	18	55	0.0143070502187
HDR through Homologous Recombination (HRR)	Reactome	R-HSA-5685942	4	67	0.00543659440647	0.0419825901389	WRN|TIP|BACH1|TOP3A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5685942	0.0597014925373134	4	32	0.0005077985770585
SIRT1 negatively regulates rRNA expression	Reactome	R-HSA-427359	4	68	0.0057122999717	0.0437643139564	TAF1B|TAF1A|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-427359	0.0588235294117647	18	55	0.0143070502187
Detoxification of Reactive Oxygen Species	Reactome	R-HSA-3299685	3	35	0.00626681146666	0.0476375590395	CYC|ALS|AQP8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3299685	0.0857142857142857	14	2	0.01133955390838
PPARA activates gene expression	Reactome	R-HSA-1989781	5	114	0.00671849242969	0.0504457450304	NCOA1|ROR1|MED13|FAT|NRF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1989781	0.043859649122807	9	8	0.0068367933782
Starch and sucrose metabolism	KEGG PATHWAY	hsa00500	3	36	0.00673992482421	0.0504457450304	TREA|MGA|G6PC2	http://www.genome.jp/kegg-bin/show_pathway?hsa00500/hsa:8972%09red/hsa:57818%09red/hsa:11181%09red	0.0833333333333333	6	7	0.0045764905036
Bile secretion	KEGG PATHWAY	hsa04976	4	72	0.00690806466851	0.0508820058638	LDLR|NCEH1|NTCP2|AQP8	http://www.genome.jp/kegg-bin/show_pathway?hsa04976/hsa:6555%09red/hsa:57552%09red/hsa:3949%09red/hsa:343%09red	0.0555555555555556	7	5	0.00491215300472
p53 signaling pathway	KEGG PATHWAY	hsa04115	4	72	0.00690806466851	0.0508820058638	CYC|AMID|EI24|PPM1D	http://www.genome.jp/kegg-bin/show_pathway?hsa04115/hsa:84883%09red/hsa:54205%09red/hsa:8493%09red/hsa:9538%09red	0.0555555555555556	NA	NA	0.0155104646138
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	Reactome	R-HSA-400206	5	115	0.00695509432671	0.0508820058638	NCOA1|ROR1|MED13|FAT|NRF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-400206	0.0434782608695652	9	8	0.0068367933782
mRNA Editing	Reactome	R-HSA-75072	2	11	0.00708067164098	0.0514141306468	DSRAD|A1CF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75072	0.181818181818182	NA	NA	0.0155104646138
Metabolism of lipids	Reactome	R-HSA-556833	15	728	0.0077402318823	0.0556130176184	SUMF2|PLPP3|NCOA1|MIGA2|NTCP2|ENPP6|ARSB|MED13|FAT|GGT1|ARSJ|PLB1|DPEP1|ROR1|NRF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-556833	0.0206043956043956	NA	NA	0.0155104646138
Cell Cycle, Mitotic	Reactome	R-HSA-69278	12	525	0.00777324809465	0.0556130176184	NEK7|GCP6|CENPI|SSNA1|CEP63|FBX5|PSME4|BUB1B|FBXL7|NEK9|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69278	0.0228571428571429	4	32	0.0005077985770585
TICAM1-dependent activation of IRF3/IRF7	Reactome	R-HSA-9013973	2	12	0.00820707684943	0.0579889189032	TRAF3|TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013973	0.166666666666667	13	33	0.0106824265389
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	Reactome	R-HSA-5693565	4	76	0.00825852641142	0.0579889189032	HERC2|TIP|MDC1|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693565	0.0526315789473684	4	32	0.0005077985770585
Gamma carboxylation, hypusine formation and arylsulfatase activation	Reactome	R-HSA-163841	3	39	0.00828413127189	0.0579889189032	SUMF2|ARSJ|ARSB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-163841	0.0769230769230769	12	4	0.010117401830795
Signaling by MET	Reactome	R-HSA-6806834	4	77	0.00862120916147	0.0594924575469	MET|LAMA3|LAMA|LAMC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6806834	0.051948051948052	5	40	0.001675104517425
DNA Double Strand Break Response	Reactome	R-HSA-5693606	4	77	0.00862120916147	0.0594924575469	HERC2|TIP|MDC1|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693606	0.051948051948052	4	32	0.0005077985770585
Glycine, serine and threonine metabolism	KEGG PATHWAY	hsa00260	3	40	0.00884114000836	0.0605804875221	CHDH|GCSP|SERA	http://www.genome.jp/kegg-bin/show_pathway?hsa00260/hsa:55349%09red/hsa:26227%09red/hsa:2731%09red	0.075	NA	NA	0.0155104646138
Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	Reactome	R-HSA-163200	5	123	0.00906110360097	0.0612253736371	CYC|COX3|ATPO|ECSIT|COX5A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-163200	0.040650406504065	19	7	0.0157375117354
Glycosaminoglycan metabolism	Reactome	R-HSA-1630316	5	123	0.00906110360097	0.0612253736371	PLC|AGRIN|NCAN|EXT2|ARSB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1630316	0.040650406504065	5	40	0.001675104517425
RNA degradation	KEGG PATHWAY	hsa03018	4	79	0.00937744945313	0.0623486509101	CNOT7|XRN1|CAF1B|LSM1	http://www.genome.jp/kegg-bin/show_pathway?hsa03018/hsa:54464%09red/hsa:27257%09red/hsa:9337%09red/hsa:29883%09red	0.0506329113924051	16	5	0.0120282345773
IRF3-mediated induction of type I IFN	Reactome	R-HSA-3270619	2	13	0.00940818852386	0.0623486509101	TBK1|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3270619	0.153846153846154	15	2	0.01142613416993
Fat digestion and absorption	KEGG PATHWAY	hsa04975	3	41	0.00941958035332	0.0623486509101	PLPP3|ABL|FAT	http://www.genome.jp/kegg-bin/show_pathway?hsa04975/hsa:4547%09red/hsa:948%09red/hsa:8613%09red	0.0731707317073171	NA	NA	0.0155104646138
Amine ligand-binding receptors	Reactome	R-HSA-375280	3	42	0.0100196115411	0.0654300807351	ADRB1|H4|DRD1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-375280	0.0714285714285714	21	3	0.0226694421489
tRNA modification in the nucleus and cytosol	Reactome	R-HSA-6782315	3	42	0.0100196115411	0.0654300807351	WDR4|CTU1|NCS2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6782315	0.0714285714285714	10	2	0.00709273572142
ER-Phagosome pathway	Reactome	R-HSA-1236974	4	82	0.0105906139267	0.0672795302312	PSME4|TLR1|FAT|TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236974	0.0487804878048781	13	33	0.0106824265389
Methylation	Reactome	R-HSA-156581	2	14	0.0106824265389	0.0672795302312	TPMT|GSTO1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-156581	0.142857142857143	22	4	0.0254826268605
TRAF3-dependent IRF activation pathway	Reactome	R-HSA-918233	2	14	0.0106824265389	0.0672795302312	TRAF3|TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-918233	0.142857142857143	13	33	0.0106824265389
Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	Reactome	R-HSA-5358606	2	14	0.0106824265389	0.0672795302312	COCA1|MSH3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5358606	0.142857142857143	17	7	0.0120282345773
CS/DS degradation	Reactome	R-HSA-2024101	2	14	0.0106824265389	0.0672795302312	NCAN|ARSB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2024101	0.142857142857143	5	40	0.001675104517425
Hemostasis	Reactome	R-HSA-109582	13	617	0.010717705227	0.0672795302312	TIMP3|AKAP1|KIF27|TFPI1|FAT|PDE2A|VEGFD|ALS|L1CAM|TIE2|ITIH3|ITIH4|PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109582	0.0210696920583468	8	4	0.006701542797775
Deubiquitination	Reactome	R-HSA-5688426	8	296	0.0112938315776	0.0704416546476	ATX3|TRAF3|NFRKB|PSME4|BIRC3|TRRAP|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5688426	0.027027027027027	NA	NA	0.0155104646138
Major pathway of rRNA processing in the nucleolus and cytosol	Reactome	R-HSA-6791226	6	183	0.0116269415265	0.0720574146834	DDX49|RRP5|DDX52|ERI1|BOP1|SAS10	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6791226	0.0327868852459016	11	4	0.008375774126785
Basal transcription factors	KEGG PATHWAY	hsa03022	3	45	0.0119506723897	0.0726923741846	TAF5|TAF2|TAF8	http://www.genome.jp/kegg-bin/show_pathway?hsa03022/hsa:6877%09red/hsa:129685%09red/hsa:6873%09red	0.0666666666666667	23	2	0.0258436439495
Glycosphingolipid metabolism	Reactome	R-HSA-1660662	3	45	0.0119506723897	0.0726923741846	SUMF2|ARSJ|ARSB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1660662	0.0666666666666667	12	4	0.010117401830795
Mismatch Repair	Reactome	R-HSA-5358508	2	15	0.0120282345773	0.0726923741846	COCA1|MSH3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5358508	0.133333333333333	17	7	0.0120282345773
@@Mismatch repair	KEGG PATHWAY	hsa03430	2	23	0.0251920729492	0.111382280292	COCA1|MSH3	http://www.genome.jp/kegg-bin/show_pathway?hsa03430/hsa:4437%09red/hsa:4436%09red	0.0869565217391304	17	7	0.0120282345773
mRNA decay by 5' to 3' exoribonuclease	Reactome	R-HSA-430039	2	15	0.0120282345773	0.0726923741846	XRN1|LSM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-430039	0.133333333333333	16	5	0.0120282345773
Sphingolipid metabolism	Reactome	R-HSA-428157	4	86	0.0123595538586	0.0742336166941	SUMF2|PLPP3|ARSJ|ARSB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-428157	0.0465116279069767	12	4	0.010117401830795
Membrane Trafficking	Reactome	R-HSA-199991	13	631	0.0126665221152	0.0756105890681	SYT9|DCTN1|COG3|TFG|KIF27|REPS1|IAP|SYT12|LDLR|LMAN2|AP4B1|GBF1|MON1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-199991	0.0206022187004754	5	40	0.001675104517425
Ether lipid metabolism	KEGG PATHWAY	hsa00565	3	47	0.0133484169092	0.0778636289343	ENPP6|PLPP3|PLB1	http://www.genome.jp/kegg-bin/show_pathway?hsa00565/hsa:151056%09red/hsa:8613%09red/hsa:133121%09red	0.0638297872340425	NA	NA	0.0155104646138
Apoptosis	KEGG PATHWAY	hsa04210	5	136	0.0133577520862	0.0778636289343	CYC|DAXX|BIRC3|CASP2|CTSL2	http://www.genome.jp/kegg-bin/show_pathway?hsa04210/hsa:54205%09red/hsa:330%09red/hsa:1515%09red/hsa:1616%09red/hsa:835%09red	0.0367647058823529	17	7	0.0120282345773
Thiamine metabolism	KEGG PATHWAY	hsa00730	2	16	0.013444079816	0.0778636289343	ADK2|IAP	http://www.genome.jp/kegg-bin/show_pathway?hsa00730/hsa:250%09red/hsa:204%09red	0.125	NA	NA	0.0155104646138
STING mediated induction of host immune responses	Reactome	R-HSA-1834941	2	16	0.013444079816	0.0778636289343	TBK1|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1834941	0.125	15	2	0.01142613416993
Recycling of bile acids and salts	Reactome	R-HSA-159418	2	16	0.013444079816	0.0778636289343	NCOA1|NTCP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159418	0.125	NA	NA	0.0155104646138
Transcriptional regulation of granulopoiesis	Reactome	R-HSA-9616222	4	89	0.0138031264414	0.0785405966519	KMT2A|SPI1|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9616222	0.0449438202247191	18	55	0.0143070502187
