##Databases: KEGG PATHWAY, Reactome
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Gene Silencing by RNA	Reactome	R-HSA-211000	2	133	0.0586497176003	0.207042086368	XPO5|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-211000
Signal transduction by L1	Reactome	R-HSA-445144	1	20	0.0591109267846	0.207042086368	L1CAM	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-445144
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	Reactome	R-HSA-6803204	1	20	0.0591109267846	0.207042086368	AMID	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6803204
Spliceosome	KEGG PATHWAY	hsa03040	2	135	0.0601848425338	0.207042086368	DHX8|U2AF1	http://www.genome.jp/kegg-bin/show_pathway?hsa03040/hsa:1659%09red/hsa:7307%09red
Cell surface interactions at the vascular wall	Reactome	R-HSA-202733	2	135	0.0601848425338	0.207042086368	TIE2|L1CAM	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202733
RHO GTPases Activate Formins	Reactome	R-HSA-5663220	2	136	0.0609575835034	0.207042086368	FMNL3|SRF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663220
PTEN Regulation	Reactome	R-HSA-6807070	2	137	0.0617337421051	0.207042086368	NR2E1|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6807070
ZBP1(DAI) mediated induction of type I IFNs	Reactome	R-HSA-1606322	1	21	0.061837656183	0.207042086368	TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1606322
Interleukin-37 signaling	Reactome	R-HSA-9008059	1	21	0.061837656183	0.207042086368	TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9008059
Metabolism of lipids	Reactome	R-HSA-556833	5	728	0.0623808578662	0.207042086368	SUMF2|ENPP6|GGT1|DPEP1|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-556833
Rho GTPase cycle	Reactome	R-HSA-194840	2	138	0.0625132924612	0.207042086368	OBSCN|HMHA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194840
Homology Directed Repair	Reactome	R-HSA-5693538	2	138	0.0625132924612	0.207042086368	MDC1|TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693538
Death Receptor Signalling	Reactome	R-HSA-73887	2	140	0.0640824655181	0.207042086368	OBSCN|CLIP3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73887
Degradation of the extracellular matrix	Reactome	R-HSA-1474228	2	140	0.0640824655181	0.207042086368	LAMA3|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474228
Digestion	Reactome	R-HSA-8935690	1	22	0.0645565525425	0.207042086368	MGA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8935690
Transcriptional regulation of pluripotent stem cells	Reactome	R-HSA-452723	1	22	0.0645565525425	0.207042086368	HLF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-452723
Blood group systems biosynthesis	Reactome	R-HSA-9033658	1	22	0.0645565525425	0.207042086368	FUT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9033658
Beta-catenin independent WNT signaling	Reactome	R-HSA-3858494	2	144	0.0672603871906	0.212698377019	RYK|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3858494
Renin-angiotensin system	KEGG PATHWAY	hsa04614	1	23	0.0672676381662	0.212698377019	NEP	http://www.genome.jp/kegg-bin/show_pathway?hsa04614/hsa:4311%09red
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	KEGG PATHWAY	hsa00534	1	24	0.0699709352946	0.213720747941	EXT2	http://www.genome.jp/kegg-bin/show_pathway?hsa00534/hsa:2132%09red
Diseases associated with the TLR signaling cascade	Reactome	R-HSA-5602358	1	24	0.0699709352946	0.213720747941	TLR6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5602358
SUMOylation of intracellular receptors	Reactome	R-HSA-4090294	1	24	0.0699709352946	0.213720747941	ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4090294
Estrogen-dependent nuclear events downstream of ESR-membrane signaling	Reactome	R-HSA-9634638	1	24	0.0699709352946	0.213720747941	SRF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9634638
Diseases of Immune System	Reactome	R-HSA-5260271	1	24	0.0699709352946	0.213720747941	TLR6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5260271
Estrogen-dependent gene expression	Reactome	R-HSA-9018519	2	149	0.0713049191285	0.216323707356	TIP|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9018519
Basigin interactions	Reactome	R-HSA-210991	1	25	0.0726664661053	0.218047282417	L1CAM	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-210991
Human papillomavirus infection	KEGG PATHWAY	hsa05165	3	330	0.0728443037029	0.218047282417	COMP|LAMA3|TBK1	http://www.genome.jp/kegg-bin/show_pathway?hsa05165/hsa:29110%09red/hsa:1311%09red/hsa:3909%09red
Phagosome	KEGG PATHWAY	hsa04145	2	152	0.0737689200504	0.219352616574	COMP|TLR6	http://www.genome.jp/kegg-bin/show_pathway?hsa04145/hsa:1311%09red/hsa:10333%09red
Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	Reactome	R-HSA-5693554	1	26	0.0753542527133	0.221137643583	TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693554
Digestion and absorption	Reactome	R-HSA-8963743	1	26	0.0753542527133	0.221137643583	MGA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8963743
Glycosphingolipid biosynthesis - lacto and neolacto series	KEGG PATHWAY	hsa00601	1	27	0.0780343171711	0.226047796192	FUT2	http://www.genome.jp/kegg-bin/show_pathway?hsa00601/hsa:2524%09red
Insulin processing	Reactome	R-HSA-264876	1	27	0.0780343171711	0.226047796192	MYRIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-264876
Interconversion of nucleotide di- and triphosphates	Reactome	R-HSA-499943	1	28	0.0807066814692	0.230152189468	ADK2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-499943
Hippo signaling pathway - multiple species	KEGG PATHWAY	hsa04392	1	29	0.0833713675357	0.230152189468	LATS1	http://www.genome.jp/kegg-bin/show_pathway?hsa04392/hsa:9113%09red
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	Reactome	R-HSA-9615017	1	29	0.0833713675357	0.230152189468	ATX3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9615017
TRAF6 mediated IRF7 activation	Reactome	R-HSA-933541	1	29	0.0833713675357	0.230152189468	TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-933541
Surfactant metabolism	Reactome	R-HSA-5683826	1	29	0.0833713675357	0.230152189468	DMBT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5683826
PI3K-Akt signaling pathway	KEGG PATHWAY	hsa04151	3	354	0.0855612799105	0.230152189468	TIE2|COMP|LAMA3	http://www.genome.jp/kegg-bin/show_pathway?hsa04151/hsa:7010%09red/hsa:1311%09red/hsa:3909%09red
Glyoxylate and dicarboxylate metabolism	KEGG PATHWAY	hsa00630	1	30	0.0860283972372	0.230152189468	GCSP	http://www.genome.jp/kegg-bin/show_pathway?hsa00630/hsa:2731%09red
RNA Polymerase I Transcription Termination	Reactome	R-HSA-73863	1	30	0.0860283972372	0.230152189468	TAF1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73863
Nuclear import of Rev protein	Reactome	R-HSA-180746	1	30	0.0860283972372	0.230152189468	RCC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-180746
MET activates PTK2 signaling	Reactome	R-HSA-8874081	1	30	0.0860283972372	0.230152189468	LAMA3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8874081
Laminin interactions	Reactome	R-HSA-3000157	1	30	0.0860283972372	0.230152189468	LAMA3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3000157
G2/M Checkpoints	Reactome	R-HSA-69481	2	167	0.086483527366	0.230152189468	MDC1|TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69481
Galactose metabolism	KEGG PATHWAY	hsa00052	1	31	0.0886777923784	0.230152189468	MGA	http://www.genome.jp/kegg-bin/show_pathway?hsa00052/hsa:8972%09red
Circadian rhythm	KEGG PATHWAY	hsa04710	1	31	0.0886777923784	0.230152189468	ROR1	http://www.genome.jp/kegg-bin/show_pathway?hsa04710/hsa:6095%09red
Glyoxylate metabolism and glycine degradation	Reactome	R-HSA-389661	1	31	0.0886777923784	0.230152189468	GCSP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-389661
HS-GAG biosynthesis	Reactome	R-HSA-2022928	1	31	0.0886777923784	0.230152189468	EXT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2022928
Interaction between L1 and Ankyrins	Reactome	R-HSA-445095	1	31	0.0886777923784	0.230152189468	L1CAM	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-445095
Rev-mediated nuclear export of HIV RNA	Reactome	R-HSA-165054	1	31	0.0886777923784	0.230152189468	RCC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-165054
Fatty acid metabolism	Reactome	R-HSA-8978868	2	172	0.0908589827199	0.230520441994	GGT1|DPEP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8978868
Nuclear Pore Complex (NPC) Disassembly	Reactome	R-HSA-3301854	1	32	0.0913195747022	0.230520441994	NEK7	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3301854
Regulation of TNFR1 signaling	Reactome	R-HSA-5357905	1	32	0.0913195747022	0.230520441994	CLIP3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5357905
Regulation of MECP2 expression and activity	Reactome	R-HSA-9022692	1	32	0.0913195747022	0.230520441994	AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9022692
Base excision repair	KEGG PATHWAY	hsa03410	1	33	0.0939537658906	0.230520441994	NEIL1	http://www.genome.jp/kegg-bin/show_pathway?hsa03410/hsa:79661%09red
@@Base Excision Repair	Reactome	R-HSA-73884	1	89	0.22999501475	0.325046311759	NEIL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73884
Signaling by NOTCH2	Reactome	R-HSA-1980145	1	33	0.0939537658906	0.230520441994	FCER2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1980145
Resolution of D-loop Structures through Holliday Junction Intermediates	Reactome	R-HSA-5693568	1	33	0.0939537658906	0.230520441994	TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693568
Interactions of Rev with host cellular proteins	Reactome	R-HSA-177243	1	33	0.0939537658906	0.230520441994	RCC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-177243
Sialic acid metabolism	Reactome	R-HSA-4085001	1	33	0.0939537658906	0.230520441994	NPL	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4085001
Activation of Matrix Metalloproteinases	Reactome	R-HSA-1592389	1	33	0.0939537658906	0.230520441994	CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1592389
NOD-like receptor signaling pathway	KEGG PATHWAY	hsa04621	2	178	0.0961937008768	0.233142978582	NEK7|TBK1	http://www.genome.jp/kegg-bin/show_pathway?hsa04621/hsa:29110%09red/hsa:140609%09red
Negative regulators of DDX58/IFIH1 signaling	Reactome	R-HSA-936440	1	34	0.0965803875641	0.233142978582	TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-936440
Resolution of D-Loop Structures	Reactome	R-HSA-5693537	1	34	0.0965803875641	0.233142978582	TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693537
Axon guidance	KEGG PATHWAY	hsa04360	2	181	0.0988941284331	0.237451677361	RYK|L1CAM	http://www.genome.jp/kegg-bin/show_pathway?hsa04360/hsa:6259%09red/hsa:3897%09red
@@Axon guidance	Reactome	R-HSA-422475	1	549	0.799437302876	0.80301420356	L1CAM	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-422475
Starch and sucrose metabolism	KEGG PATHWAY	hsa00500	1	36	0.101811008544	0.238089285605	MGA	http://www.genome.jp/kegg-bin/show_pathway?hsa00500/hsa:8972%09red
Tyrosine metabolism	KEGG PATHWAY	hsa00350	1	36	0.101811008544	0.238089285605	HGD	http://www.genome.jp/kegg-bin/show_pathway?hsa00350/hsa:3081%09red
Resolution of Abasic Sites (AP sites)	Reactome	R-HSA-73933	1	36	0.101811008544	0.238089285605	NEIL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73933
Metabolic disorders of biological oxidation enzymes	Reactome	R-HSA-5579029	1	36	0.101811008544	0.238089285605	GGT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5579029
Glutathione conjugation	Reactome	R-HSA-156590	1	36	0.101811008544	0.238089285605	GGT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-156590
HDR through Single Strand Annealing (SSA)	Reactome	R-HSA-5685938	1	37	0.104415050786	0.242913771001	TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5685938
DNA Damage Recognition in GG-NER	Reactome	R-HSA-5696394	1	38	0.107011609388	0.247671199047	NFRKB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5696394
Signaling by Interleukins	Reactome	R-HSA-449147	4	619	0.107606916161	0.24777182234	TIE2|ROR1|TBK1|FCER2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449147
Gamma carboxylation, hypusine formation and arylsulfatase activation	Reactome	R-HSA-163841	1	39	0.109600705665	0.248538973958	SUMF2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-163841
Presynaptic phase of homologous DNA pairing and strand exchange	Reactome	R-HSA-5693616	1	39	0.109600705665	0.248538973958	TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693616
Formation of Fibrin Clot (Clotting Cascade)	Reactome	R-HSA-140877	1	39	0.109600705665	0.248538973958	TFPI1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-140877
Interferon Signaling	Reactome	R-HSA-913531	2	194	0.11083472187	0.249626124823	TRIM3|TRIM2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-913531
Glycine, serine and threonine metabolism	KEGG PATHWAY	hsa00260	1	40	0.112182360875	0.249626124823	GCSP	http://www.genome.jp/kegg-bin/show_pathway?hsa00260/hsa:2731%09red
MET promotes cell motility	Reactome	R-HSA-8875878	1	40	0.112182360875	0.249626124823	LAMA3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8875878
Cell Cycle	Reactome	R-HSA-1640170	4	629	0.112303958161	0.249626124823	CEP63|NEK7|MDC1|TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1640170
@@Cell cycle	KEGG PATHWAY	hsa04110	1	124	0.304524618061	0.365592389063	PRKDC	http://www.genome.jp/kegg-bin/show_pathway?hsa04110/hsa:5591%09red
Fat digestion and absorption	KEGG PATHWAY	hsa04975	1	41	0.114756596215	0.251042487058	ABL	http://www.genome.jp/kegg-bin/show_pathway?hsa04975/hsa:4547%09red
Diseases associated with glycosaminoglycan metabolism	Reactome	R-HSA-3560782	1	41	0.114756596215	0.251042487058	EXT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3560782
Focal adhesion	KEGG PATHWAY	hsa04510	2	199	0.115524156503	0.251042487058	COMP|LAMA3	http://www.genome.jp/kegg-bin/show_pathway?hsa04510/hsa:1311%09red/hsa:3909%09red
Cilium Assembly	Reactome	R-HSA-5617833	2	200	0.116468127231	0.251042487058	CEP63|IFT80	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5617833
Amine ligand-binding receptors	Reactome	R-HSA-375280	1	42	0.117323432822	0.251042487058	DRD1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-375280
TNF signaling	Reactome	R-HSA-75893	1	42	0.117323432822	0.251042487058	CLIP3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75893
Homologous DNA Pairing and Strand Exchange	Reactome	R-HSA-5693579	1	42	0.117323432822	0.251042487058	TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693579
Epstein-Barr virus infection	KEGG PATHWAY	hsa05169	2	201	0.117414080807	0.251042487058	TBK1|FCER2	http://www.genome.jp/kegg-bin/show_pathway?hsa05169/hsa:29110%09red/hsa:2208%09red
Retinoid metabolism and transport	Reactome	R-HSA-975634	1	43	0.119882891773	0.25510624837	LRP12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975634
Carbohydrate digestion and absorption	KEGG PATHWAY	hsa04973	1	44	0.122434994086	0.256884637125	MGA	http://www.genome.jp/kegg-bin/show_pathway?hsa04973/hsa:8972%09red
Intra-Golgi traffic	Reactome	R-HSA-6811438	1	44	0.122434994086	0.256884637125	COG3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6811438
TP53 Regulates Transcription of Cell Death Genes	Reactome	R-HSA-5633008	1	44	0.122434994086	0.256884637125	AMID	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5633008
Basal transcription factors	KEGG PATHWAY	hsa03022	1	45	0.12497976072	0.259795891497	TAF8	http://www.genome.jp/kegg-bin/show_pathway?hsa03022/hsa:129685%09red
Glycosphingolipid metabolism	Reactome	R-HSA-1660662	1	45	0.12497976072	0.259795891497	SUMF2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1660662
RNA Polymerase I Transcription Initiation	Reactome	R-HSA-73762	1	46	0.127517212574	0.261124176646	TAF1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73762
Nuclear Envelope Breakdown	Reactome	R-HSA-2980766	1	46	0.127517212574	0.261124176646	NEK7	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2980766
Recycling pathway of L1	Reactome	R-HSA-437239	1	46	0.127517212574	0.261124176646	L1CAM	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-437239
Human immunodeficiency virus 1 infection	KEGG PATHWAY	hsa05170	2	212	0.127945030873	0.261124176646	DCAF1|TBK1	http://www.genome.jp/kegg-bin/show_pathway?hsa05170/hsa:29110%09red/hsa:9730%09red
Ether lipid metabolism	KEGG PATHWAY	hsa00565	1	47	0.130047370488	0.261844257171	ENPP6	http://www.genome.jp/kegg-bin/show_pathway?hsa00565/hsa:133121%09red
Metabolism of fat-soluble vitamins	Reactome	R-HSA-6806667	1	47	0.130047370488	0.261844257171	LRP12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6806667
Interleukin-10 signaling	Reactome	R-HSA-6783783	1	47	0.130047370488	0.261844257171	FCER2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6783783
Amino sugar and nucleotide sugar metabolism	KEGG PATHWAY	hsa00520	1	48	0.132570255244	0.264551309354	NPL	http://www.genome.jp/kegg-bin/show_pathway?hsa00520/hsa:80896%09red
Notch signaling pathway	KEGG PATHWAY	hsa04330	1	48	0.132570255244	0.264551309354	DTX3L	http://www.genome.jp/kegg-bin/show_pathway?hsa04330/hsa:151636%09red
Malaria	KEGG PATHWAY	hsa05144	1	49	0.135085887565	0.266024401389	COMP	http://www.genome.jp/kegg-bin/show_pathway?hsa05144/hsa:1311%09red
Cocaine addiction	KEGG PATHWAY	hsa05030	1	49	0.135085887565	0.266024401389	DRD1	http://www.genome.jp/kegg-bin/show_pathway?hsa05030/hsa:1812%09red
Retrograde transport at the Trans-Golgi-Network	Reactome	R-HSA-6811440	1	49	0.135085887565	0.266024401389	COG3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6811440
Biological oxidations	Reactome	R-HSA-211859	2	220	0.135739034895	0.266143347895	GGT1|DPEP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-211859
Signaling by PTK6	Reactome	R-HSA-8848021	1	52	0.142589476268	0.277154436555	HLF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8848021
Signaling by Non-Receptor Tyrosine Kinases	Reactome	R-HSA-9006927	1	52	0.142589476268	0.277154436555	HLF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006927
Signaling by NOTCH	Reactome	R-HSA-157118	2	231	0.146623049056	0.280856016162	AGO2|FCER2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-157118
Intraflagellar transport	Reactome	R-HSA-5620924	1	54	0.147555983853	0.280856016162	IFT80	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5620924
AUF1 (hnRNP D0) binds and destabilizes mRNA	Reactome	R-HSA-450408	1	54	0.147555983853	0.280856016162	HSPB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450408
Ras signaling pathway	KEGG PATHWAY	hsa04014	2	232	0.147621424976	0.280856016162	TIE2|TBK1	http://www.genome.jp/kegg-bin/show_pathway?hsa04014/hsa:29110%09red/hsa:7010%09red
Neddylation	Reactome	R-HSA-8951664	2	232	0.147621424976	0.280856016162	HLF|FBX11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8951664
Complex I biogenesis	Reactome	R-HSA-6799198	1	55	0.150028533476	0.281794223674	ECSIT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6799198
Heparan sulfate/heparin (HS-GAG) metabolism	Reactome	R-HSA-1638091	1	55	0.150028533476	0.281794223674	EXT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1638091
Deadenylation-dependent mRNA decay	Reactome	R-HSA-429914	1	55	0.150028533476	0.281794223674	XRN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-429914
Transcriptional regulation by RUNX1	Reactome	R-HSA-8878171	2	235	0.150624974792	0.281794223674	AGO2|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8878171
Glutathione metabolism	KEGG PATHWAY	hsa00480	1	56	0.152493974094	0.28293303458	GGT1	http://www.genome.jp/kegg-bin/show_pathway?hsa00480/hsa:2678%09red
Neurexins and neuroligins	Reactome	R-HSA-6794361	1	56	0.152493974094	0.28293303458	SYT9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6794361
E3 ubiquitin ligases ubiquitinate target proteins	Reactome	R-HSA-8866654	1	57	0.154952325967	0.286311087898	PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866654
Non-integrin membrane-ECM interactions	Reactome	R-HSA-3000171	1	58	0.157403609296	0.287770999554	LAMA3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3000171
mRNA 3'-end processing	Reactome	R-HSA-72187	1	58	0.157403609296	0.287770999554	U2AF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72187
VEGF signaling pathway	KEGG PATHWAY	hsa04370	1	59	0.159847844227	0.287770999554	HSPB1	http://www.genome.jp/kegg-bin/show_pathway?hsa04370/hsa:3315%09red
Regulation of PTEN gene transcription	Reactome	R-HSA-8943724	1	59	0.159847844227	0.287770999554	NR2E1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8943724
NRAGE signals death through JNK	Reactome	R-HSA-193648	1	59	0.159847844227	0.287770999554	OBSCN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193648
Recognition and association of DNA glycosylase with site containing an affected pyrimidine	Reactome	R-HSA-110328	1	60	0.162285050847	0.287770999554	NEIL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-110328
rRNA modification in the nucleus and cytosol	Reactome	R-HSA-6790901	1	60	0.162285050847	0.287770999554	RRP5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6790901
Depyrimidination	Reactome	R-HSA-73928	1	60	0.162285050847	0.287770999554	NEIL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73928
Cleavage of the damaged pyrimidine 	Reactome	R-HSA-110329	1	60	0.162285050847	0.287770999554	NEIL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-110329
PIP3 activates AKT signaling	Reactome	R-HSA-1257604	2	247	0.162757799872	0.287770999554	NR2E1|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1257604
Neutrophil degranulation	Reactome	R-HSA-6798695	3	478	0.163741183363	0.287770999554	HMHA1|MGA|NEP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6798695
Transcriptional Regulation by MECP2	Reactome	R-HSA-8986944	1	61	0.164715249188	0.287770999554	AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8986944
Ca2+ pathway	Reactome	R-HSA-4086398	1	61	0.164715249188	0.287770999554	AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4086398
Base-Excision Repair, AP Site Formation	Reactome	R-HSA-73929	1	61	0.164715249188	0.287770999554	NEIL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73929
Cytosolic DNA-sensing pathway	KEGG PATHWAY	hsa04623	1	63	0.169554700875	0.292807925742	TBK1	http://www.genome.jp/kegg-bin/show_pathway?hsa04623/hsa:29110%09red
Synthesis of substrates in N-glycan biosythesis	Reactome	R-HSA-446219	1	63	0.169554700875	0.292807925742	NPL	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-446219
Mitophagy - animal	KEGG PATHWAY	hsa04137	1	65	0.174366358409	0.293222827437	TBK1	http://www.genome.jp/kegg-bin/show_pathway?hsa04137/hsa:29110%09red
Inflammatory bowel disease (IBD)	KEGG PATHWAY	hsa05321	1	65	0.174366358409	0.293222827437	ROR1	http://www.genome.jp/kegg-bin/show_pathway?hsa05321/hsa:6095%09red
